gene,SJ_M9,SJ_M10,SJ_M7,SJ_M8
ENSMUSG00000001039,9.568174,3.138423,17.715678,17.081878000000003
ENSMUSG00000001052,30.718809,23.268032,51.763571000000006,53.58004699999999
ENSMUSG00000001053,3.126267,2.491439,7.004297,7.338831
ENSMUSG00000001054,11.183948,9.270496,25.628053,26.504752
ENSMUSG00000001056,102.52264,83.989041,95.074333,72.286785
ENSMUSG00000001062,12.409645,6.828822000000001,19.641938,23.644668000000003
ENSMUSG00000001065,6.045577,4.974385,21.913369000000003,22.136722
ENSMUSG00000001076,0.0,0.0,0.0,0.0
ENSMUSG00000001082,38.055112,32.67928,117.637344,110.94248
ENSMUSG00000001089,7.713306,4.600787,19.621355,18.827967
ENSMUSG00000001095,0.071559,0.0,0.0,0.035458
ENSMUSG00000001098,47.101169000000006,37.466205,141.342422,145.13743300000002
ENSMUSG00000001100,34.890980000000006,26.098545,82.94687199999998,85.54543799999999
ENSMUSG00000001103,0.978966,0.353466,1.469021,0.436023
ENSMUSG00000001105,64.10691,47.716487,71.1493,68.174111
ENSMUSG00000001119,195.104331,185.813987,1168.050638,1103.941876
ENSMUSG00000001120,6.708899,8.372385,16.188837,14.298879
ENSMUSG00000001123,84.627938,40.291581,69.017787,57.101258
ENSMUSG00000001127,30.048312,31.451085000000003,79.73030900000002,76.969495
ENSMUSG00000001128,465.439217,239.42828,84.768782,65.958183
ENSMUSG00000001131,100.653874,66.15477200000001,205.00919,193.3221
ENSMUSG00000001134,33.473049,13.688319,24.843324,22.960491
ENSMUSG00000001138,7.703110000000001,8.511658,18.351157,17.779239
ENSMUSG00000001143,21.463499,18.016373,29.705032,29.400682000000003
ENSMUSG00000001150,16.077074,15.54821,21.380085,23.428945
ENSMUSG00000001151,5.0559970000000005,6.691329999999999,7.720104000000002,9.054387
ENSMUSG00000001155,0.0,0.0,0.12935,0.056893
ENSMUSG00000001156,38.759594,18.325876,11.006102,9.645094
ENSMUSG00000001157,7.970761,8.197981,15.445593,14.036089
ENSMUSG00000001158,45.72635,27.141503,38.988803,38.173977
ENSMUSG00000001166,1.830905,0.646044,2.410896,2.297102
ENSMUSG00000001168,0.0,0.0,0.045227,0.049059
ENSMUSG00000001173,9.168803,7.065704,19.899099,20.571217
ENSMUSG00000001175,358.386767,210.172827,217.080748,178.145219
ENSMUSG00000001211,48.80925599999999,29.854561,67.902899,58.84882900000001
