,baseMean,log2FoldChange,lfcSE,pvalue,padj,FDR_corrected_pvals
Ssbp2,74.1208333345623,-0.683636384331598,0.474093795255008,0.0399541585126826,0.113327857440377,0.12810575512775102
Ssbp3,741.870360858347,-1.03988264501907,0.198581319244689,3.29180472721091e-08,2.98796093765272e-07,3.3813669560658127e-07
Ssbp4,3573.93789375149,0.347757337151981,0.0898515357736986,8.96414005681716e-05,0.0005201047394521,0.0005885836583454014
Ssc4d,122.420997509406,0.371424734687111,0.366903303808801,0.186048934908165,0.368632775040103,0.4066808612720884
Ssc5d,20.4338362438473,-0.214208213292016,0.523837934904017,0.345782503700583,0.555890228130294,0.5948827404526069
Ssfa2,3664.37384704423,-0.569147187835148,0.0883054510526267,4.3296831984220394e-11,5.09022183134424e-10,5.760419315613125e-10
Ssh1,753.722759174077,0.0108167758514608,0.185446496901068,0.953248674029599,0.978659203537069,0.9843527574432328
Ssh2,1426.93854145275,-0.0527159324024798,0.137149298270384,0.689227126534932,0.836789860657912,0.8633887419857286
Ssh3,2859.23743195616,0.651601048148152,0.0882378617972453,8.07079415736128e-14,1.16269878329486e-12,1.3157840171698085e-12
Ssmem1,2.409421391547,0.0435963553647121,0.526924084495695,0.70076158429043,,0.870280934622852
Ssna1,1282.11873816467,-0.194024171393581,0.129031639508531,0.120537146759215,0.268246286373309,0.2993173977508503
Sspn,3.19465897967184,0.0328344440921137,0.517678504301928,0.810219945674765,,0.9264535492666797
Ssr1,6526.60092818783,0.215497533296688,0.0651869731834347,0.000791544304356,0.0037914872487936,0.0042906885213453705
Ssr2,2508.86220962091,0.494024828432796,0.117153308004164,1.49330476186462e-05,9.70839544540447e-05,0.00010986638794983462
Ssr3,10418.8221286075,0.429417978840832,0.0620089186424633,3.32814087345383e-12,4.2582848702988296e-11,4.8189464488966466e-11
Ssr4,3208.51991888286,0.500972502252,0.113367485898618,6.04097780161329e-06,4.16031667251893e-05,4.7080793948652966e-05
Ssrp1,3963.33371363995,-0.402137821147526,0.0863883352831807,2.61307698077964e-06,1.90752111845493e-05,2.158672423277461e-05
Sssca1,817.653090466643,0.165317029843945,0.188192061654558,0.347045739475797,0.557038070758103,0.5957462808670178
Ssu72,2347.63072601965,0.116943046381337,0.0990910898854743,0.229748525400403,0.427216821947478,0.46724745520446426
Ssx2ip,466.615990576936,-0.73117742429286,0.230917982839604,0.0005307025146971,0.0026531637713073,0.0030024891531466556
St13,5072.52012328569,0.0462053269351349,0.0795089899082938,0.545489207634261,0.737001801977951,0.7708319242931551
St14,202.486944343368,0.13603767638429,0.254555252525,0.544826248543598,0.736510492692309,0.770431920301682
St18,436.37820019144,0.424273340856106,0.237549874307278,0.0472334210483549,0.129727754903164,0.14654362529617554
St3gal1,3294.89707835989,0.559252233947498,0.0910744824451987,4.43405348797148e-10,4.7739034474529505e-09,5.402453280178131e-09
St3gal2,608.815100923487,0.0079632790900658,0.17428527077447,0.96335993894449,0.984720469741486,0.9902205928036504
St3gal3,659.818185759296,1.01867249759494,0.183398134313743,6.0110635701402e-09,5.85818770612062e-08,6.629498425594726e-08
St3gal4,872.080030721182,0.402099170519884,0.13906645189419,0.002727061080504,0.0115007922474094,0.013015029207348868
St3gal5,8085.29340161499,-0.234455460609967,0.0645254697874168,0.0002511011601434,0.0013336477985089,0.0015092408137199558
St3gal6,49.0815148330622,0.115692378726903,0.424313965881172,0.666549368622857,0.822532565536977,0.8508425839854011
St5,68.3828897150076,1.37277555342447,0.694119121580839,0.0038961142497886,0.0156761666442833,0.01774014888240162
St6gal1,233.065749215595,-2.78478297661182,1.02052982166124,0.0002300727026011,0.0012306948047366,0.0013927326469692467
St6galnac2,2.55648495928477,0.0293550192295234,0.527064444421751,0.770730720630801,,0.9087128935294876
St6galnac4,842.307067010581,-0.201647046547764,0.14063781337451,0.136241901828207,0.294954895760994,0.3280476338285891
St6galnac5,1.72913338025693,0.0435820355912532,0.537082667895777,0.311326424342912,,0.5601207776661692
St6galnac6,912.15705421844,0.158609901782614,0.148727136730991,0.267049466340872,0.471356715563719,0.511006292377954
St7,654.279055378042,1.78894342168967,0.199945694538406,3.5967716039045904e-20,7.30543209749006e-19,8.267292380884036e-19
St7l,410.070065306228,0.274063527597188,0.237636211824518,0.196705028760353,0.383748859006317,0.42220094441319506
St8sia1,5.32867431662774,-0.209297088223248,0.579026363076979,0.128354416259863,0.281565354659163,0.31348412971056905
St8sia4,996.555484676896,-1.41476221321834,0.141592338733834,2.17119218384418e-24,5.24291217346373e-23,5.933213434454191e-23
Stab1,30552.1682436424,-0.716458481354608,0.0481367524178094,1.47237029143314e-50,8.452516695687679e-49,9.565406391438844e-49
Stac2,322.87302735967,0.156139328603292,0.213409792731624,0.426024663674123,0.636901848317063,0.6751763426137993
Stac3,9.24865519245295,-0.124898325413597,0.51241481741379,0.513318203674825,0.711212188752742,0.7466446598906544
Stag1,1142.41218295052,-0.441249262609491,0.119687129157306,0.0001442723175309,0.0008027852108992,0.0009084828890314464
