,baseMean,log2FoldChange,lfcSE,pvalue,padj,FDR_corrected_pvals
Gm16069,3.24286006414219,0.0065406883620043,0.255348133637922,0.893417685501968,,0.9692621099047782
Gm16091,12.8227115213877,-0.0664053452652015,0.257612345121577,0.409691751850458,0.690919267879557,0.7322425452958192
Gm16093,1.29468116401686,-0.011335828136669,0.259278163486182,0.619257654816374,,0.8535537293916611
Gm16096,9.16683041675421,-0.0027937969216695,0.24971828238765,0.966179060089308,0.987343363696735,0.992284949330528
Gm16098,1.45590300659895,0.0233011309531882,0.260019334663106,0.373809429754272,,0.7103261431596021
Gm16099,1.25710483956977,-0.0115141644324346,0.259808200565237,0.805704713043507,,0.9354826533995082
Gm16103,2.16382837364695,0.0314744885055131,0.262386541983001,0.0790267773097093,,0.4013517800198391
Gm16104,1.67399908547174,0.0485522807565781,0.264226269671791,0.153660193761741,,0.5123570552794114
Gm16118,0.992311986287226,-0.0047912820684536,0.258580097424774,0.860583395116051,,0.9570936861465689
Gm16124,6.67864301164229,4.02713594150842,1.63538961586674,0.0005385542911499,0.0234201833110565,0.028402450451905294
Gm16133,5.36222073110087,-0.0164279007642164,0.258553740170157,0.609206107521593,0.819270186130006,0.8508869447543953
Gm16140,64.8008210627718,-0.0784817421379157,0.224166671593625,0.526453698458706,0.768890331281787,0.8032790559270151
Gm16141,4.91151473501052,-0.0013361041573344,0.251459033509916,0.980812366803298,0.99276827310769,0.9944951486968966
Gm16144,2.13731833324635,-0.046954190841666,0.263127981188724,0.237259581937728,,0.6066968990019085
Gm16147,1.80859889627182,-0.0194208353093596,0.259246347732278,0.520280341837166,,0.7995175741944939
Gm16153,50.6260120598977,-0.0069023916823141,0.233822938425733,0.944217400145657,0.978046324099445,0.9869900843989442
Gm16156,8.8807237774134,-0.0445440269640372,0.250115732030041,0.585379007193482,0.805998202623826,0.8382155571891988
Gm16163,2.93258368464848,0.0206069596845609,0.258644056525755,0.562015009771124,,0.8255306255836531
Gm16170,2.82144067390593,-0.0273338003349116,0.259558406678235,0.444775053197173,,0.7537137071744
Gm16172,21.8439501672871,-0.0332551392632133,0.2500321410002,0.663198925640943,0.848338272972307,0.8749444198929764
Gm16174,3.15272231166238,0.0317954752560916,0.259627472739953,0.42781825684107,,0.7431349738987735
Gm16183,81.4027233093839,1.14431616285267,1.20468439690202,0.0059094729293505,0.104726295927639,0.12609887546390827
Gm16184,5.18888017945619,-0.0695085894680853,0.270209732098622,0.119680336571656,0.41590543377559,0.4708266275990369
Gm16185,158.740485470961,-0.184410396871858,0.292378242510498,0.156559045057967,0.461287505469317,0.5159657297965482
Gm16192,1.04927413671405,0.0125720668353667,0.260124482397887,0.405407814749831,,0.7298247579139293
Gm16196,5.4516856104941,0.0133396842298194,0.253064155875791,0.822465242999989,0.927314241327753,0.9425612798293888
Gm16199,15.6651211861167,0.144938200909758,0.310808605855274,0.049366654166709,0.292107476306416,0.33825181151729705
Gm16201,45.883984295791,1.24432007772544,0.666495797196672,0.0020947943580351,0.0567633365997549,0.06862336509663342
Gm16206,3.87592835026617,-0.0534993911030423,0.262453209354542,0.309771984526178,,0.6620939677643221
Gm16209,4.68913870123797,-0.0069610995208277,0.253660363564766,0.899433187116833,0.960815997606979,0.9709612208517016
Gm16211,54.402671490408,0.294256039042754,0.381869791635195,0.064093200186235,0.3235778673339,0.3734102308651426
Gm16222,5.87002205190038,0.118430734166312,0.292604653890553,0.0623572853627856,0.320246683322535,0.36946647452566966
Gm16229,1.75590951904338,0.0066998060681621,0.258708004749769,0.805466510188846,,0.935372899087851
Gm16230,3.22848337069149,0.0600134139675694,0.266115203010052,0.186781569229833,,0.5533331490444805
Gm16234,1.0082233135918,0.013378966740109,0.259784372457926,0.707325778693986,,0.8954757703835258
Gm16238,2.06558018546112,0.0039647902213399,0.255622448542355,0.933932885223307,,0.9843992727426748
Gm16239,3.23529277749725,-0.0068669262021508,0.256838884321919,0.862298195102574,,0.9574284432640016
Gm16244,20.2537263881926,-0.0512527051591915,0.250038248534686,0.550565282529495,0.784420101222081,0.817959281619872
Gm16249,16.1576057170147,-0.056981816360224,0.244557933900305,0.562423427763175,0.792165710862519,0.8256679627328829
Gm16253,9.25410726858334,-0.0233604045963748,0.25308506999611,0.709498882548763,0.872250739690274,0.8957652021065667
Gm16267,2.18259951721341,-0.0515713968814969,0.264419494385133,0.205395513123905,,0.574988703740977
Gm16272,1.98933571161958,-0.014947847899156,0.259524879910777,0.512047399131714,,0.7958633951606898
Gm16276,1.25009430830694,0.0243544365596992,0.259588944209443,0.442819735558678,,0.7532114758137055
Gm16277,12.0236571928283,0.0154090862618519,0.260451365793037,,,1.0
Gm16278,5.79279881331924,0.0078254926612254,0.255487199137741,0.870385096155548,0.94921846101214,0.9605858779698417
Gm16279,36.9322737786393,0.143023373465026,0.267471657017538,0.243677474392011,0.559049365484902,0.6120042825401526
Gm16283,2.10268653875184,0.0150255243875757,0.257421090950247,0.699655630787674,,0.8920630600120831
Gm16286,4415.08457451165,0.259796880289929,0.345065064897963,0.0867235556308208,0.364685782573738,0.41735753422683547
Gm16287,6.16246714347189,0.0778883632355644,0.264689889945607,0.298442830533683,0.606868405116634,0.6556164954160916
