"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1700020D05Rik",8.56137683964541,-0.301775786685829,0.533234008085907,0.0185113432879278,NA
"1700020I14Rik",2387.43822388715,-0.417204467832586,0.203115224059175,0.0123218683872451,0.10853633621818
"1700020L24Rik",11.6373533954588,0.148520311334726,0.353328353508655,0.0670022424460204,0.247772010559018
"1700021F05Rik",406.3715036082,0.496153406233457,0.470950954206409,0.0336250434777854,0.176865328549202
"1700021J08Rik",3.69639357897457,0.0143035812528858,0.303659940755221,0.823765908554885,NA
"1700022I11Rik",3.55835891373059,0.0687243613099849,0.315011076421699,0.26616037591131,NA
"1700022N22Rik",2.17254532921271,0.0142200185264882,0.302556874011078,0.835157378592525,NA
"1700023F06Rik",11.4385100188553,0.0570397182212995,0.300753604509297,0.548186561693589,0.747260712193396
"1700023H06Rik",0.988356143785046,-0.024274521664605,0.310077587729533,0.424487925984206,NA
"1700024B05Rik",19.6179881701379,-0.0658012781881874,0.304309838458488,0.472451978624996,0.689902557747438
"1700025D23Rik",1.70936298291154,0.0307465078697029,0.311224067471888,0.251096382111575,NA
"1700025G04Rik",585.492606738744,-0.0152373306799501,0.216272130390657,0.919416732270621,0.96102959012242
"1700026J14Rik",1.14206431766666,0.0255037788991862,0.309386250490636,0.491412732423185,NA
"1700027A07Rik",3.57218168529562,0.0427092145248212,0.307479685944159,0.503854863404042,NA
"1700028E10Rik",10.0778232747863,0.00361522222364131,0.285876211798291,0.975354348736891,0.988184632095729
"1700028I16Rik",1.89162314403919,0.0543907907079551,0.31316936244983,0.25755695837594,NA
"1700028J19Rik",3.73396173339947,-0.0133956200621031,0.301965134948433,0.846246923883765,NA
"1700029H14Rik",4.80267781359312,-0.0630265817418148,0.312166393650999,0.337884343813413,NA
"1700029I15Rik",24.7565066502688,-0.107364112637569,0.287369238110853,0.438121318149168,0.663312366540355
"1700029J07Rik",49.131599029262,1.0601204453655,0.55653831695351,0.00280986615441164,0.0525089642843339
"1700030C10Rik",2.1164619037085,0.0105491736550801,0.306336744859916,0.827710590698578,NA
"1700030C12Rik",1.01808942393504,0.0251990907395436,0.309986765964685,0.439220843297509,NA
"1700030J22Rik",51.5705223989016,-0.176677915930225,0.303049301222032,0.261608116405169,0.501427135494749
"1700030K09Rik",325.499473577337,0.404359988425014,0.212178280786919,0.0176106220163288,0.129207059342575
"1700030N03Rik",2.80687315709621,-0.0364662180439334,0.308056923544872,0.505626147738772,NA
"1700034H15Rik",9.23702346015325,-0.0651278426306627,0.312799144465296,0.322463819682458,0.561597732903158
"1700034P13Rik",18.643927782559,-0.101570675114665,0.302318839807775,0.399001946304394,0.630586822042778
"1700036A12Rik",1.07770720233228,0.0414800390673257,0.311207108837474,0.328157536397426,NA
"1700037C18Rik",96.6793499386192,0.517215224816073,0.688879978048571,0.0264939055897913,0.15757877281548
"1700037F24Rik",1.16826296418247,-0.025483534547288,0.309225781045713,0.506784051675461,NA
"1700037H04Rik",1158.44072136599,0.314964708194111,0.337061196975068,0.100118373424133,0.30448371299092
"1700040D17Rik",8.53663797226094,0.0769660121586059,0.311557059474458,0.355931025960787,NA
"1700041G16Rik",4.01420760404578,0.0663894005170927,0.316784586074468,0.162318041546698,NA
"1700042O10Rik",13.6986527342215,0.0653273158088438,0.302913265588132,0.490665804524672,0.703252702545957
"1700047G07Rik",2.43835472728348,-0.0542186801129594,0.312447825851611,0.31036600499549,NA
"1700047K16Rik",7.36332947407085,0.103523677407532,0.317431391657958,0.282187051088753,NA
"1700048M11Rik",2.68300880053913,-0.0749575039150662,0.320283651421591,0.121573703863576,NA
"1700048O20Rik",12.8518406787316,0.0994083097386419,0.321052035820177,0.235680638973237,0.4724188192752
