gene,IRRP1,IRRP2,IRRP3,RP1,RP2,RP3,V1,V2,V3
ENSMUSG00000000903,0,0,0,0,2,1,0,0,0
ENSMUSG00000000915,2145,3532,3073,4060,4776,4090,1379,2380,1775
ENSMUSG00000000916,1048,721,784,902,633,845,689,691,511
ENSMUSG00000000934,1311,774,827,912,793,996,787,844,669
ENSMUSG00000000938,2,1,0,0,3,2,0,0,0
ENSMUSG00000000942,0,0,1,0,7,0,3,0,0
ENSMUSG00000000948,6,69,57,117,221,174,33,153,94
ENSMUSG00000000957,3941,4413,4165,3823,6276,4478,5368,6628,5705
ENSMUSG00000000958,79,102,226,138,166,266,114,82,90
ENSMUSG00000000959,1108,1276,1327,1267,1627,1524,1259,1289,976
ENSMUSG00000000976,179,839,1033,1247,1320,1484,989,1335,1084
ENSMUSG00000000982,11,25,44,61,6,43,34,70,35
ENSMUSG00000000983,19,2,4,1,0,2,2,2,0
ENSMUSG00000001014,21,3,8,0,7,5,2,2,3
ENSMUSG00000001016,3027,3136,3307,3506,4132,3926,3343,3231,2936
ENSMUSG00000001017,3433,2747,3415,3508,4429,3718,3321,3240,2812
ENSMUSG00000001018,225,757,798,901,861,965,751,991,772
ENSMUSG00000001020,737,324,477,242,256,218,93,77,113
ENSMUSG00000001021,39,4,9,22,6,22,9,9,3
ENSMUSG00000001023,75,16,21,7,47,10,0,5,6
ENSMUSG00000001025,15598,3730,5576,3456,6936,4238,2837,2180,2462
ENSMUSG00000001027,14,21,14,56,56,33,15,11,4
ENSMUSG00000001029,32,11,39,23,68,22,24,29,21
ENSMUSG00000001034,591,1293,1287,1906,1399,1956,1302,1520,1313
ENSMUSG00000001036,615,1075,1186,1281,1077,1395,1219,1504,1265
ENSMUSG00000001039,308,135,180,149,188,196,219,190,185
ENSMUSG00000001052,844,1582,1674,2364,2719,2251,1242,2592,1509
ENSMUSG00000001053,446,262,295,343,305,346,359,321,280
ENSMUSG00000001054,419,603,663,703,694,672,625,637,535
ENSMUSG00000001056,10025,3374,3439,4555,3088,4384,4708,4199,3864
ENSMUSG00000001062,193,411,636,396,856,568,263,479,359
ENSMUSG00000001065,203,569,668,562,942,716,370,446,392
ENSMUSG00000001076,0,1,3,3,12,4,0,1,4
ENSMUSG00000001082,1330,1446,1401,1204,1497,1332,700,961,713
ENSMUSG00000001089,706,2271,2400,2118,3084,2392,1690,2515,2024
ENSMUSG00000001095,0,0,3,1,0,0,1,0,0
ENSMUSG00000001098,1769,2559,2733,2210,2636,2471,2197,2552,2218
ENSMUSG00000001100,1123,1918,1893,2064,1958,2074,2635,2798,2567
ENSMUSG00000001103,2,4,1,0,4,7,0,0,0
ENSMUSG00000001105,958,541,619,494,604,554,749,738,666
ENSMUSG00000001119,1509,6510,7234,7870,11553,8923,4455,5086,4346
ENSMUSG00000001120,344,547,467,735,496,654,485,658,493
ENSMUSG00000001123,338,762,1201,713,911,840,983,1016,864
ENSMUSG00000001127,514,700,1064,1535,939,1452,973,1582,1212
ENSMUSG00000001128,576,365,1632,853,731,1069,337,309,305
ENSMUSG00000001131,924,366,513,498,278,506,734,759,611
ENSMUSG00000001134,190,153,148,163,109,186,188,161,134
ENSMUSG00000001138,479,1014,1102,1014,1462,1364,699,989,773
ENSMUSG00000001143,498,781,755,850,1183,994,733,933,761
ENSMUSG00000001150,3878,991,1333,1395,1269,1392,1042,1231,1476
ENSMUSG00000001151,526,1271,1190,2019,1666,1954,918,1392,1121
ENSMUSG00000001155,0,2,1,6,5,2,0,0,0
ENSMUSG00000001156,104,218,288,233,400,228,197,320,259
ENSMUSG00000001157,272,406,430,466,543,564,451,549,413
ENSMUSG00000001158,692,607,670,712,773,756,702,699,648
ENSMUSG00000001166,128,57,84,46,43,39,56,37,21
ENSMUSG00000001168,0,0,1,0,1,0,0,0,0
ENSMUSG00000001173,167,558,638,543,518,680,332,613,511
ENSMUSG00000001175,2267,6321,7825,6417,6779,6782,7500,5645,5560
ENSMUSG00000001211,1409,1933,1894,2811,2326,2748,2232,2778,1956
ENSMUSG00000001225,0,2,6,0,0,0,0,0,0
ENSMUSG00000001227,111,233,232,140,254,159,115,181,172
ENSMUSG00000001228,2219,5457,5124,7073,7007,7131,5397,7832,6460
ENSMUSG00000001229,475,1611,1498,1777,2078,1840,1556,2174,1785
ENSMUSG00000001240,472,348,364,784,568,694,533,486,495
ENSMUSG00000001247,21,5,52,10,47,12,16,9,6
ENSMUSG00000001248,3466,1310,1309,1483,1769,1703,1270,1314,1130
ENSMUSG00000001249,0,3,9,1,13,2,0,3,1
ENSMUSG00000001260,0,0,0,0,0,0,0,0,0
ENSMUSG00000001270,95,73,294,133,163,181,122,56,75
ENSMUSG00000001280,319,2062,2175,3712,4549,5122,1711,3060,2397
ENSMUSG00000001281,100,29,155,15,99,58,17,12,20
ENSMUSG00000001285,3529,1348,1447,1656,1890,1674,1564,1399,1141
ENSMUSG00000001288,648,1501,1646,1523,2134,2004,1438,1647,1313
ENSMUSG00000001289,5670,1554,1916,1849,2094,1836,2055,1613,1401
ENSMUSG00000001300,558,1041,1095,706,1087,776,1407,484,589
ENSMUSG00000001305,3665,1604,1707,1870,1617,1668,1677,1981,1770
ENSMUSG00000001313,614,298,310,521,379,459,507,433,375
ENSMUSG00000001323,74,348,286,503,414,403,242,289,433
ENSMUSG00000001333,8,23,26,19,32,29,31,14,20
ENSMUSG00000001334,2,2,5,1,1,6,0,2,3
ENSMUSG00000001348,131,188,462,555,144,424,165,76,78
ENSMUSG00000001349,42,61,55,3,141,42,26,19,8
ENSMUSG00000001366,250,273,447,526,378,418,239,358,242
ENSMUSG00000001376,1502,1298,1249,1374,1837,1479,1258,1694,1327
ENSMUSG00000001380,3295,3074,3134,1606,3561,2123,3613,2957,2540
ENSMUSG00000001383,2791,1995,2125,1150,2472,1594,3001,2169,1979
ENSMUSG00000001403,5732,3356,3345,3406,2516,3311,4065,3947,3345
ENSMUSG00000001415,1427,3717,3609,4638,6184,5622,2844,3643,3075
ENSMUSG00000001416,24220,8959,10130,11667,9805,12142,11991,10023,9176
ENSMUSG00000001418,1069,1031,1319,1651,1217,1436,1043,1478,1116
