gene,SJ1,SJ10,SJ11,SJ12,SJ2,SJ3,SJ4,SJ5,SJ6,SJ7,SJ8,SJ9
ENSMUSG00000000731,0,1,1,4,0,0,0,0,0,0,0,0
ENSMUSG00000000732,834,624,616,591,856,438,509,247,336,1434,1324,878
ENSMUSG00000000738,2030,1485,1366,1553,2192,1597,1922,1094,1371,2141,2427,1531
ENSMUSG00000000739,4,5,2,7,2,8,10,1,3,0,16,8
ENSMUSG00000000740,17540,13460,14191,14981,19089,14483,17201,12848,15735,17130,16647,16085
ENSMUSG00000000743,3377,3519,3672,3737,3236,3659,3786,2837,3361,3726,4563,3766
ENSMUSG00000000751,4821,1925,2432,2510,4515,2512,2565,2102,2339,3106,3014,2210
ENSMUSG00000000753,23,63,44,80,97,172,65,59,72,143,47,209
ENSMUSG00000000759,1388,758,848,1116,1332,1158,1174,829,987,1578,1752,804
ENSMUSG00000000766,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000776,452,535,705,550,459,702,865,617,608,369,776,519
ENSMUSG00000000782,4,0,7,4,1,9,1,4,2,4,7,7
ENSMUSG00000000787,8273,7146,6973,7038,7716,8339,8031,5811,6643,9379,11278,7717
ENSMUSG00000000791,40,56,48,60,46,234,153,168,153,46,62,77
ENSMUSG00000000792,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000000794,0,0,0,6,1,6,0,3,14,1,0,4
ENSMUSG00000000804,964,986,1253,1287,906,1385,1097,936,998,1350,1618,1216
ENSMUSG00000000805,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000000811,124,176,231,227,100,216,209,147,203,127,114,231
ENSMUSG00000000817,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000823,544,311,453,518,632,823,669,292,341,871,632,843
ENSMUSG00000000826,3206,4309,3357,3626,3485,3820,3778,2904,3527,4776,5422,4121
ENSMUSG00000000827,1470,1491,1330,1454,1524,1178,1249,1091,1262,1629,1725,1759
ENSMUSG00000000838,1351,717,625,735,1256,757,773,658,768,1211,1256,741
ENSMUSG00000000861,4,9,7,0,1,7,3,3,17,0,0,6
ENSMUSG00000000869,3,8,0,0,2,0,0,1,0,5,0,6
ENSMUSG00000000876,324,378,490,369,439,389,295,297,294,506,364,366
ENSMUSG00000000881,37,47,40,43,25,27,73,37,40,14,12,59
ENSMUSG00000000884,102,48,51,77,113,36,118,59,81,57,51,77
ENSMUSG00000000889,0,0,6,6,0,0,0,8,10,0,0,0
ENSMUSG00000000901,13,7,11,10,9,1,4,6,3,29,180,28
ENSMUSG00000000902,1425,1064,1457,1363,1420,1166,1238,1174,1287,1334,1623,1328
ENSMUSG00000000903,0,5,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000915,88,128,136,163,9,154,180,114,131,12,34,157
ENSMUSG00000000916,302,345,232,209,389,349,391,251,275,347,495,323
ENSMUSG00000000934,180,213,201,232,185,179,246,205,256,177,157,227
ENSMUSG00000000938,1,4,0,2,0,6,0,3,0,3,0,4
ENSMUSG00000000942,18,20,24,23,20,18,12,10,2,9,44,30
ENSMUSG00000000948,2,0,0,2,4,0,6,2,0,5,0,5
ENSMUSG00000000957,1340,12171,20337,21169,1369,14289,15243,17149,20209,2518,2905,13681
ENSMUSG00000000958,581,750,908,1006,565,857,889,779,979,899,764,958
ENSMUSG00000000959,1396,1052,1111,1164,1405,1065,1088,989,1197,1826,1628,1235
ENSMUSG00000000976,749,1456,1208,1150,872,1443,1987,1057,1277,767,933,1240
ENSMUSG00000000982,923,7743,7122,7568,983,13333,13529,12439,14929,351,328,8495
ENSMUSG00000000983,11,135,58,83,0,104,103,80,78,10,20,132
ENSMUSG00000001014,5,3,0,0,9,4,8,9,3,4,0,0
ENSMUSG00000001016,1395,899,847,1070,1394,1046,1183,792,940,1128,1227,944
ENSMUSG00000001017,2728,2627,2543,2707,2735,2874,3032,1962,2588,2754,3387,2797
ENSMUSG00000001018,1233,1547,1767,1775,1449,1338,1434,1216,1333,1815,1888,1673
ENSMUSG00000001020,17360,6508,6332,6532,19435,8643,9903,6386,7293,16964,14351,7516
ENSMUSG00000001021,4,0,0,0,2,10,6,3,0,4,0,1
ENSMUSG00000001023,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001025,10153,3282,3307,3817,12034,5324,5786,4155,4648,8402,10453,4152
ENSMUSG00000001027,0,0,0,0,0,0,0,0,0,0,9,0
ENSMUSG00000001029,424,169,165,159,399,293,290,204,128,259,190,325
ENSMUSG00000001034,1412,1470,1645,1862,1246,1621,1588,1230,1424,1734,2670,1436
ENSMUSG00000001036,240,185,299,214,172,293,361,200,272,152,166,303
ENSMUSG00000001039,41,33,51,39,68,29,50,40,73,80,17,55
ENSMUSG00000001052,2065,1782,1966,1878,2192,1674,2302,1397,1827,2204,2228,1820
ENSMUSG00000001053,209,82,87,98,240,52,59,47,63,437,428,87
ENSMUSG00000001054,1132,913,1034,925,1275,859,1105,720,722,2047,2069,934
ENSMUSG00000001056,2000,1733,2009,2141,2087,1823,2171,1828,2031,1474,1285,2012
ENSMUSG00000001062,897,1226,1685,1557,959,1239,1854,1047,1169,1158,1113,1680
ENSMUSG00000001065,755,714,960,1132,748,1136,1112,766,981,740,1159,879
ENSMUSG00000001076,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000001082,1472,1439,1244,1861,1466,1654,1961,1328,1331,1204,1224,1459
ENSMUSG00000001089,979,581,425,460,975,798,578,462,509,870,1506,475
ENSMUSG00000001095,18,25,22,35,11,28,5,7,6,29,15,21
ENSMUSG00000001098,2354,1906,2089,2010,2436,2419,2313,1612,2091,2701,3109,2278
ENSMUSG00000001100,915,947,1006,1020,1023,1104,1068,909,983,987,1325,1053
ENSMUSG00000001103,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001105,767,1086,1141,1210,720,1187,1334,734,974,984,1476,1237
ENSMUSG00000001119,110,182,120,119,63,127,142,74,67,53,104,182
ENSMUSG00000001120,34,78,75,32,51,74,56,36,41,38,96,67
ENSMUSG00000001123,7379,3259,4381,4672,7812,5843,6263,6526,7574,5258,5030,4004
ENSMUSG00000001127,2095,2417,2275,2342,1777,2429,2657,1737,1703,2465,3158,2139
ENSMUSG00000001128,17914,19495,24524,25481,19174,21914,23894,20397,23699,18868,21362,21536
ENSMUSG00000001131,38,43,89,118,52,89,76,126,99,21,13,56
ENSMUSG00000001134,273,231,306,285,364,263,463,216,283,308,472,319
ENSMUSG00000001138,513,284,367,551,606,344,273,229,258,826,860,294
ENSMUSG00000001143,1013,529,872,979,1008,695,841,670,678,1056,1099,812
ENSMUSG00000001150,1133,1318,1194,1313,1442,1408,2316,1223,1418,1699,2481,1147
ENSMUSG00000001151,2174,844,706,831,1970,938,1045,711,817,1717,2244,604
ENSMUSG00000001155,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001156,359,260,359,393,300,393,507,517,558,296,352,353
ENSMUSG00000001157,693,619,637,792,687,605,723,530,589,703,798,727
ENSMUSG00000001158,788,728,949,1003,933,926,1053,911,1066,809,1070,1006
ENSMUSG00000001166,282,115,188,186,302,201,196,227,166,256,236,250
ENSMUSG00000001168,2,0,8,0,4,5,2,1,0,3,5,0
ENSMUSG00000001173,1465,1265,1198,1335,1289,1339,1380,1226,1357,1432,1428,1032
ENSMUSG00000001175,30197,26546,36055,41042,29222,34063,35852,33089,34183,26614,30771,33275
ENSMUSG00000001211,1716,2726,3222,3347,1705,2661,2612,2450,2983,1545,2115,3531
ENSMUSG00000001225,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001227,1096,584,655,676,1069,871,870,544,654,858,961,581
ENSMUSG00000001228,5572,1539,2391,2373,5389,3016,2990,2569,3044,2943,4783,1544
ENSMUSG00000001229,2204,1853,1772,1816,2183,2247,2297,1631,2033,2451,2597,2013
ENSMUSG00000001240,0,3,0,0,2,0,0,0,0,0,0,0
ENSMUSG00000001247,172,26,34,36,236,35,34,3,31,206,261,19
ENSMUSG00000001248,2482,5645,6562,6667,2384,5517,5668,4332,4794,3425,3459,6552
ENSMUSG00000001249,55,497,432,574,32,319,369,288,335,136,120,361
ENSMUSG00000001260,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001270,17396,5897,6505,7298,17762,7160,8473,5701,6633,7888,7790,7020
ENSMUSG00000001280,2190,1395,1348,1645,2111,1923,1627,1062,1321,3398,3923,1362
ENSMUSG00000001281,4046,875,905,655,3826,1569,1225,1167,1528,3632,3151,1136
ENSMUSG00000001285,794,688,674,752,858,891,938,483,726,879,1111,721
ENSMUSG00000001288,696,568,785,731,592,679,591,482,551,1055,949,722
ENSMUSG00000001289,1907,2331,2567,2935,2514,1804,2072,1961,2288,2726,3383,2501
