symbol,SJ1,SJ10,SJ11,SJ12,SJ2,SJ3,SJ4,SJ5,SJ6,SJ7,SJ8,SJ9
Gm17644,0,0,1,0,0,0,0,2,0,10,17,0
Gm29663,0,0,0,0,0,0,0,0,0,0,0,0
Sulf1,2,15,9,37,7,3,27,6,4,9,14,0
Slco5a1,6,0,2,6,0,5,0,3,2,5,0,2
Gm37162,0,0,0,0,0,0,0,0,0,0,0,0
Gm5250,0,0,0,0,0,0,0,0,0,0,0,0
Gm29283,0,0,0,0,0,0,0,0,0,0,0,0
Prdm14,0,0,0,0,0,0,0,0,0,0,0,0
Ncoa2,1581,1225,1174,1159,1459,1470,1083,823,1072,1784,2162,1547
Gm38376,0,0,2,0,0,6,0,0,1,0,0,1
Gm37409,0,0,0,0,0,0,0,0,0,0,0,0
Gm27881,0,0,0,0,0,0,0,0,0,0,0,0
Gm38223,0,0,0,0,0,0,0,0,0,0,0,0
Gm37702,0,0,0,0,0,0,0,0,0,0,0,0
Gm23169,0,0,0,0,0,0,0,0,0,0,0,0
Gm38120,4,0,3,3,5,0,2,1,0,10,14,7
Gm38380,0,0,0,0,0,0,0,0,6,0,0,2
Gm29570,0,0,0,0,0,0,0,0,0,0,0,0
Gm7593,0,0,0,0,0,0,0,1,0,0,0,0
Tram1,5493,5039,5689,6787,5202,5469,6296,4725,6893,4789,6275,5498
Lactb2,799,698,811,687,773,1279,694,614,602,884,968,794
Gm38319,16,4,7,14,6,27,4,17,9,11,39,1
Xkr9,0,0,0,0,0,0,0,0,0,0,0,0
Gm26273,0,0,0,0,0,0,0,0,0,0,0,0
Gm5523,0,1,1,4,1,0,2,2,1,0,0,0
Gm36947,0,0,0,0,0,0,0,0,0,0,0,0
Gm25491,0,0,0,0,0,0,0,0,0,0,0,0
Gm37400,0,0,0,0,0,0,0,0,0,0,0,0
Eya1,307,23,30,33,223,128,47,67,52,337,304,27
Gm22616,0,0,0,0,0,0,0,0,0,0,0,0
Gm37444,0,0,0,0,0,0,0,0,0,0,0,0
Gm9947,0,0,0,0,0,0,0,0,0,0,0,0
Msc,0,0,0,0,0,0,0,0,0,1,1,0
Gm37412,0,0,0,0,0,0,0,0,0,0,0,0
Smt3h2-ps4,0,0,0,0,0,0,0,0,0,0,0,0
Rpl5-ps1,0,3,0,6,0,1,12,0,0,0,0,1
Trpa1,0,0,0,0,0,0,1,0,0,0,8,0
Gm26345,0,0,0,0,0,0,0,0,0,0,0,0
Gm10566,0,3,0,11,0,4,2,5,5,6,0,5
Kcnb2,0,0,0,0,0,0,0,0,0,0,0,0
Gm38116,0,0,0,0,0,0,0,0,0,0,0,0
Gm37138,6,20,33,20,6,17,24,16,20,10,10,28
Gm25227,0,0,0,0,0,0,0,0,0,0,0,0
Gm25168,0,0,0,0,0,0,0,0,0,0,0,0
Gm6060,0,0,0,0,0,0,0,0,0,0,0,0
Gm28669,0,0,0,0,0,0,0,0,0,0,0,0
Terf1,578,226,258,290,477,185,338,227,214,459,634,237
Gm37509,0,0,0,0,2,3,0,0,0,0,0,0
Sbspon,0,0,0,0,0,0,3,0,2,0,0,0
Gm23259,0,0,0,0,0,0,0,0,0,0,0,0
Gm7634,0,0,0,0,0,0,0,0,0,0,0,0
4930444P10Rik,0,5,0,0,0,0,0,0,0,0,0,0
Rpl7,15069,11773,11930,13159,16252,13482,14555,10564,12334,15881,17479,14232
Rdh10,267,182,143,143,209,110,145,102,73,248,254,137
Gm38249,0,0,0,0,0,0,0,0,0,0,0,0
Gm28095,0,0,0,0,0,0,0,0,0,0,0,0
Stau2,449,321,299,311,397,310,346,259,400,258,213,301
Gm7568,0,0,0,0,0,0,0,0,0,0,0,0
Ube2w,831,845,783,843,878,806,965,680,743,918,1120,821
Gm38342,0,5,2,0,7,5,0,1,0,3,0,0
Eloc,1543,1449,1932,1961,1948,1986,2139,1821,1933,1438,1950,1901
D030040B21Rik,2,0,0,0,0,0,1,0,0,0,0,0
Gm7654,1,0,0,0,3,0,0,0,0,0,0,0
Tmem70,838,922,825,888,902,871,989,745,809,799,980,970
Ly96,193,302,272,344,236,340,261,302,278,248,248,287
Gm29649,0,0,0,0,0,0,0,0,0,0,0,0
Gm5828,0,0,0,0,0,0,0,0,0,0,0,0
Gm28376,0,0,0,0,0,0,0,0,0,0,0,0
4921511E07Rik,0,0,0,0,0,0,0,0,0,0,0,0
Jph1,3,14,0,2,3,0,0,4,1,3,0,2
Gm28783,0,0,0,0,0,0,0,0,0,0,0,0
Gdap1,1,0,2,0,0,0,0,0,0,6,0,3
Gm28784,0,0,0,0,0,0,0,0,0,0,0,0
Gm28785,0,0,0,0,0,0,0,0,0,0,0,0
Gm5251,0,0,0,0,0,0,0,0,0,0,0,0
Rbm6-ps1,0,0,0,5,0,0,0,0,0,0,0,0
Gm6075,0,0,0,0,1,0,2,0,0,1,0,0
Gm25166,0,0,0,0,0,0,0,0,0,0,0,0
Pi15,1,0,0,0,2,2,8,3,1,0,0,3
Gm28154,0,0,0,0,0,0,0,0,0,0,0,0
Gm16070,0,0,0,0,0,0,0,0,0,0,0,0
Crispld1,0,0,0,0,0,0,0,0,0,0,0,0
Gm28153,0,0,0,0,0,0,0,0,0,0,0,0
Gm7690,0,0,0,0,0,0,0,0,0,0,0,0
Gm18775,0,0,0,0,0,0,0,0,0,0,0,0
Gm17969,0,0,0,0,0,0,0,0,0,0,0,0
Gm28756,45,37,53,96,43,51,63,55,38,58,66,72
Gm28755,0,0,0,0,0,0,0,0,0,0,0,0
Gm45784,0,0,0,0,0,0,0,0,0,0,0,0
Crisp4,0,0,0,0,0,0,0,1,0,0,0,0
Defb44-ps,0,0,0,0,0,0,0,0,0,0,0,0
Defb18,0,0,0,0,0,0,1,0,0,0,0,0
Defb41,0,0,0,1,0,0,0,0,1,0,0,0
Gm17837,0,0,0,0,0,0,0,0,0,0,0,0
Gm5252,0,0,0,0,0,0,0,0,0,0,0,0
Gm24075,0,0,0,0,0,0,0,0,0,0,0,0
Gm28343,0,0,0,0,0,0,0,0,0,0,0,0
Gm28344,0,0,0,0,0,0,0,0,0,0,0,0
Gm15825,0,0,0,0,0,0,0,0,0,0,0,0
Tfap2d,0,0,0,0,0,0,0,0,0,0,0,0
Gm10075,0,0,0,0,0,0,0,0,0,0,0,0
Tfap2b,0,15,4,0,0,0,0,1,2,0,0,0
Gm28340,0,0,0,0,0,0,0,0,0,0,0,0
Gm28341,0,0,0,0,0,0,0,0,0,0,0,0
Gm4849,0,0,0,0,0,0,0,0,0,0,0,0
Gm24633,0,0,0,0,0,0,0,0,0,0,0,0
Gm38382,0,0,0,0,0,0,0,0,0,0,0,0
Pkhd1,0,0,0,0,0,0,0,1,0,0,0,0
Gm37315,2,4,1,0,0,5,0,1,0,0,0,8
4930486I03Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm15795,0,0,0,0,0,0,0,0,0,0,0,0
Gm24162,0,0,0,0,0,0,0,0,0,0,0,0
Gm28653,0,0,0,0,0,0,0,0,0,0,0,0
Mir206,0,0,0,0,0,0,0,0,0,0,0,0
Mir133b,0,0,0,0,0,0,0,0,0,0,0,0
Il17a,0,0,0,0,0,0,0,0,0,0,0,0
Il17f,0,0,0,5,0,0,0,0,0,0,0,0
Mcm3,4987,2514,2957,2724,4917,3691,3559,3177,3401,3264,4278,2036
Gm20587,0,0,0,0,0,0,0,0,0,0,0,0
Gm28065,0,0,0,0,0,0,0,0,0,0,0,0
Gm24723,0,0,0,0,0,0,0,0,0,0,0,0
6720483E21Rik,0,0,0,0,0,0,0,0,0,0,0,0
Paqr8,22,27,12,28,22,21,31,12,12,27,50,27
Gm24171,0,0,0,0,0,0,0,0,0,0,0,0
Gm28064,0,0,0,0,0,0,0,0,0,0,0,0
Efhc1,7,3,66,6,3,35,2,6,2,4,0,3
Tram2,278,280,267,314,312,330,277,297,331,301,419,204
Gm28287,0,0,0,0,0,0,0,0,0,0,0,0
Gm2693,0,0,0,0,0,0,0,0,0,0,0,0
Tmem14a,54,39,40,24,67,33,18,15,52,59,115,42
Gm38224,14,8,4,4,1,6,6,11,12,10,12,11
Gsta3,579,2605,2067,2063,738,2015,2244,1372,1693,1365,1713,3043
Gm28836,1,0,0,0,0,0,0,0,1,0,0,0
Gm7094,0,0,0,0,0,0,0,0,0,0,0,0
Gm4956,0,0,0,0,0,0,0,0,0,0,0,0
Gm21909,0,0,0,0,0,0,0,0,0,0,0,0
Khdc1a,0,0,0,0,0,0,0,0,0,0,0,0
Gm16329,0,0,0,0,0,0,0,0,0,0,0,0
Gm16327,0,0,0,0,0,0,0,0,0,0,0,0
Khdc1c,0,0,0,0,0,0,0,0,0,0,0,0
Gm2709,0,0,0,0,0,0,0,0,0,0,0,0
Gm16533,0,0,0,0,0,0,0,0,0,0,0,0
Khdc1b,0,0,0,0,0,0,0,0,0,0,0,0
Gm16328,0,0,0,0,0,0,0,0,0,0,0,0
Kcnq5,0,0,2,0,0,0,0,0,0,0,0,9
Gm36949,0,0,0,0,0,0,0,0,0,0,0,0
Gm7658,0,0,0,0,4,0,0,1,0,1,0,0
Gm38243,2,0,3,4,0,3,4,4,0,0,0,10
Gm26580,0,0,0,0,0,0,0,0,0,0,0,0
Gm5696,0,0,0,0,0,0,0,0,0,0,0,0
Gm28239,0,0,0,0,0,0,0,0,0,0,0,0
Rims1,0,0,0,0,0,0,0,0,0,0,0,0
Gm26866,0,0,0,0,0,0,0,0,0,0,0,0
Gm7761,0,0,0,0,0,0,0,0,0,0,0,0
Gm29506,0,0,0,0,0,0,0,0,0,0,0,0
4933415F23Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm24176,0,0,0,0,0,0,0,0,0,0,0,0
Gm6420,0,0,0,0,0,0,0,0,0,0,0,0
Mir30a,0,0,0,0,0,0,0,0,0,0,0,0
Gm27028,0,0,0,0,0,0,0,0,0,0,0,0
Mir30c-2,0,0,0,0,0,0,0,0,0,0,0,0
Gm29107,0,0,0,0,0,0,0,0,0,0,0,0
Gm20954,0,0,0,0,0,0,0,0,0,0,0,0
Ogfrl1,1799,1385,1224,1207,1831,1565,1709,924,1063,1978,2156,1649
Gm7784,0,0,0,0,0,0,0,0,0,0,0,0
Gm28822,0,0,0,0,0,0,0,0,0,0,0,0
B3gat2,15,15,24,16,12,34,26,35,21,25,53,20
Smap1,1466,1542,1664,1622,1410,1634,1826,1316,1544,1562,1833,1808
Sdhaf4,246,244,227,227,266,267,249,174,187,279,276,312
Gm26524,0,0,0,0,0,0,0,0,0,0,0,0
Fam135a,120,104,109,79,107,102,157,106,99,145,265,141
Gm37580,0,0,0,0,0,0,0,0,0,0,0,0
Gm26607,0,0,0,0,0,0,0,0,0,0,0,0
Col9a1,0,0,1,0,0,0,0,0,0,0,0,0
Col19a1,14,17,66,58,17,36,15,37,29,27,26,17
Gm26418,0,0,0,0,0,0,0,0,0,0,0,0
Tubb4b-ps2,0,0,0,0,0,0,0,0,0,0,0,0
Gm28439,0,0,0,0,0,387,0,0,0,0,2468,0
Gm10222,0,0,0,0,0,0,0,0,0,0,0,0
Gm28438,12,9,0,30,55,0,0,46,0,48,0,0
Gm28437,0,0,0,211,70,0,0,0,0,0,0,0
Gm10925,0,0,0,0,0,0,0,0,0,0,0,84
Gm28661,0,0,0,0,0,147,0,0,0,0,0,0
Gm29216,0,15,0,27,0,0,0,0,0,0,0,4
Lmbrd1,2136,2274,2224,2557,2023,2170,2310,2152,2236,2581,2369,2391
Gm28594,0,0,0,0,0,0,0,0,0,0,0,0
Gm28237,0,0,0,0,0,0,0,0,0,0,0,0
Gm9443,0,0,0,0,0,0,0,0,0,0,0,0
Gm29414,0,0,0,0,0,0,0,0,0,0,0,0
Adgrb3,0,1,1,0,0,0,0,0,0,0,0,0
Gm15702,0,0,0,0,0,0,0,0,0,0,0,0
Gm20172,0,0,0,0,0,0,0,0,0,0,0,0
Gm22260,0,0,0,0,0,0,0,0,0,0,0,0
Gm37543,0,0,0,0,0,0,0,0,0,0,0,0
Gm37331,0,0,0,0,0,0,0,0,0,0,0,0
Gm37211,0,0,0,0,0,0,0,0,0,0,0,0
Gm37862,0,0,0,0,0,0,0,0,0,0,0,1
Gm38286,0,0,0,0,0,0,0,0,0,0,0,0
Gm37880,6,4,2,6,4,5,5,3,2,12,0,1
Gm25294,0,0,0,0,0,0,0,0,0,0,0,0
Gm37011,0,0,0,0,0,0,0,0,0,0,0,0
Gm29214,0,0,0,0,0,0,0,0,0,0,0,0
Gm37051,0,0,0,0,0,0,0,0,0,0,0,0
Gm38260,0,0,0,0,0,0,0,0,0,0,0,0
Gm37628,0,0,0,0,0,0,0,0,0,0,0,0
8030445P17Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm38198,3,0,0,0,1,1,0,0,1,7,0,2
Gm37077,3,20,6,0,16,8,4,1,2,0,0,9
Gm37895,0,0,0,0,0,0,0,0,0,0,0,0
Gm36952,0,0,0,0,0,0,0,0,0,0,0,0
Gm37602,0,0,0,0,0,0,0,0,0,0,0,0
2900022M07Rik,0,0,0,0,0,0,0,0,0,0,0,0
2900002M20Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm9884,0,0,0,0,0,0,0,0,0,0,0,0
Gm18443,0,0,0,0,0,0,0,0,0,0,0,0
Gm19123,0,0,0,0,0,0,0,0,0,0,0,0
Gm24064,0,0,0,0,0,0,0,0,0,0,0,0
4931408C20Rik,0,0,0,0,1,0,0,0,0,0,0,0
n-R5s209,0,0,0,0,0,0,0,0,0,0,0,0
Gm19641,0,0,0,0,0,0,0,0,0,0,0,0
Gm5524,0,0,0,0,0,0,0,0,0,0,0,0
Gm18776,0,0,0,0,0,0,0,0,0,0,0,0
Gm19028,0,0,0,0,0,0,0,0,0,0,0,0
Gm38089,0,0,0,0,0,0,0,0,0,0,0,0
Gm7846,0,0,0,0,0,0,0,0,0,0,0,0
Gm597,0,0,0,0,0,0,0,0,0,0,0,0
Gm5697,2,9,4,4,0,15,11,2,3,2,0,7
Gm6462,0,0,0,0,0,0,0,0,0,0,0,0
Gm18033,0,0,0,0,0,0,0,0,0,0,0,0
Gm25586,0,0,0,0,0,0,0,0,0,0,0,0
Gm22679,0,0,0,0,0,0,0,0,0,0,0,0
Gm23785,0,0,0,0,0,0,0,0,0,0,0,0
Mir6342,0,0,0,0,0,0,0,0,0,0,0,0
Gm5525,1,0,1,1,0,1,1,1,1,1,0,0
Gm7858,0,0,0,0,0,0,0,0,0,0,0,0
Gm23771,0,0,0,0,0,0,0,0,0,0,0,0
Gm27430,0,0,0,0,0,0,0,0,0,0,0,0
Gm9898,0,0,0,0,0,0,0,0,0,0,0,0
Gm6473,4,0,0,3,0,0,1,4,1,3,21,0
Gm2914,0,0,0,0,0,0,0,0,0,0,0,0
Phf3,1251,1246,930,1012,1466,1329,1386,930,1338,1666,2864,2612
Gm37522,0,0,0,0,0,0,0,0,0,0,0,0
Gm37906,0,0,2,0,0,3,0,0,0,0,0,0
Ptp4a1,25,16,19,13,6,63,32,2,9,21,0,58
Ptp4a1,2605,1919,2035,2219,2130,1990,2358,1769,2128,2029,2549,2112
AC153137.1,0,0,0,0,0,0,0,0,0,0,0,0
Gm9458,0,0,0,0,0,0,0,0,0,0,0,0
4931428L18Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm28644,0,0,0,0,0,0,0,0,0,0,0,0
Gm27362,0,0,0,0,0,0,0,0,0,0,0,0
Gm29128,0,0,0,0,0,0,0,0,0,0,0,0
Gm7893,0,0,0,0,0,0,0,0,0,0,0,0
Lgsn,0,0,0,0,1,0,0,0,0,0,0,0
Pih1d3,0,0,0,0,0,0,0,0,0,0,0,0
Gm26145,0,0,0,0,0,0,0,0,0,0,0,0
Gm4850,0,0,0,0,0,0,0,0,0,0,0,0
Gm28645,0,0,0,0,0,0,0,0,0,0,0,0
Gm6489,0,0,0,0,0,0,0,0,0,0,0,0
Gm10307,0,0,0,0,0,0,0,0,0,0,0,0
Gm19680,185,91,41,133,197,110,148,49,53,328,265,50
Gm23032,0,0,0,0,0,0,0,0,0,0,0,0
Gm7910,0,0,0,0,0,0,0,0,0,0,0,0
Khdrbs2,0,0,0,0,0,0,0,0,0,0,0,0
Gm25814,0,0,0,0,0,0,0,0,0,0,0,0
Gm37999,0,0,0,0,0,0,0,0,0,0,0,0
Gm37110,43,42,31,17,15,62,13,13,13,4,84,5
Gm37911,0,0,0,0,0,0,0,0,0,0,0,0
Gm9839,0,0,0,0,0,0,0,0,0,0,0,0
Gm37792,0,0,0,0,0,0,0,0,0,0,0,0
Gm5415,3,0,0,0,0,0,0,0,0,0,0,0
Gm24732,0,0,0,0,0,0,0,0,0,0,0,0
Gm37426,0,0,7,1,1,1,8,1,6,3,6,5
Gm23024,0,0,0,0,0,0,0,0,0,0,0,0
Gm37151,0,0,0,0,0,0,0,0,0,0,0,0
Gm28624,0,0,0,0,0,0,0,0,0,0,0,0
Gm37724,215,239,233,242,192,325,206,156,275,264,428,124
Gm7114,0,0,0,0,0,0,0,0,0,0,0,0
Gm4785,0,0,0,0,0,0,0,0,0,0,0,0
Gm24901,0,0,0,0,0,0,0,0,0,0,0,0
Gm37591,0,0,0,0,0,0,0,0,0,0,0,0
Gm2987,0,0,0,0,0,0,0,0,0,0,0,0
Gm25792,0,0,0,0,0,0,0,0,0,0,0,0
Gm18799,0,0,0,0,0,0,0,0,0,0,0,0
Gm7933,0,0,0,0,0,0,0,0,0,0,0,0
Gm23453,0,0,0,0,0,0,0,0,0,0,0,0
Prim2,1132,394,469,495,965,545,530,491,525,731,756,448
Gm29228,0,0,0,0,0,1,0,0,0,0,1,0
Gm37618,0,0,0,0,0,0,0,0,0,0,0,0
Gm17813,0,0,0,0,0,0,0,0,0,0,0,0
1700001G17Rik,0,0,0,0,0,0,0,0,5,0,0,0
Gm38173,0,0,0,0,0,0,0,0,0,0,0,0
Rab23,233,150,124,211,162,96,224,92,258,123,451,52
Bag2,190,143,95,194,170,216,255,151,152,77,69,124
Gm37905,0,0,0,0,0,0,0,0,0,0,0,0
Zfp451,979,498,473,664,678,595,545,539,585,904,908,495
Gm15455,1,0,0,0,0,1,0,0,0,0,0,0
Bend6,50,19,40,45,34,67,128,70,124,25,29,36
Gm37067,0,0,0,0,0,0,0,0,0,0,0,0
Dst,987,3112,4047,4746,857,4588,4299,3911,5073,1148,1439,3732
